epoch,accuracy,loss,val_accuracy,val_loss
0,0.5669999718666077,0.6720574498176575,0.5674999952316284,0.702587902545929
1,0.6867499947547913,0.5897141695022583,0.7080000042915344,0.5606463551521301
2,0.719124972820282,0.5540050864219666,0.7304999828338623,0.5242775082588196
3,0.7352499961853027,0.5268431305885315,0.7465000152587891,0.5115869641304016
4,0.7559999823570251,0.5025061368942261,0.765999972820282,0.49482056498527527
5,0.765749990940094,0.4802735447883606,0.7599999904632568,0.4983634352684021
6,0.784375011920929,0.4616004228591919,0.7605000138282776,0.5175363421440125
7,0.781624972820282,0.4518287181854248,0.7674999833106995,0.4937785863876343
8,0.7903749942779541,0.4434821605682373,0.765500009059906,0.5009355545043945
9,0.8015000224113464,0.42624378204345703,0.7764999866485596,0.46166181564331055
10,0.8052499890327454,0.41591474413871765,0.7929999828338623,0.4604322016239166
11,0.8169999718666077,0.4013218879699707,0.7749999761581421,0.47275039553642273
12,0.8201249837875366,0.39426159858703613,0.7940000295639038,0.4484173059463501
13,0.8256250023841858,0.3786282241344452,0.7914999723434448,0.48353543877601624
14,0.8351250290870667,0.3650241792201996,0.781499981880188,0.49022209644317627
15,0.8429999947547913,0.3540436625480652,0.7714999914169312,0.520125687122345
